id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19269648,Home in New Orleans · ★4.95 · 3 bedrooms · 3 beds · 2 baths,22583586,Whitney,,St. Roch,29.97347,-90.05413,Entire home/apt,525,3,60,2023-05-07,0.83,1,180,6,"21-RSTR-14497, 22-OSTR-12816"
19293912,Townhouse in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 bath,135108051,Ash,,Irish Channel,29.9263,-90.08207,Entire home/apt,79,2,177,2023-07-23,2.43,8,63,24,"19str-70080, 19-Ostr-7008"
19295429,Home in New Orleans · ★4.85 · 5 bedrooms · 7 beds · 2 baths,135120836,EM Hughes,,Old Aurora,29.91387,-90.00121,Entire home/apt,100,30,27,2023-08-07,0.38,3,29,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
19315148,Home in New Orleans · ★4.89 · 3 bedrooms · 4 beds · 2 baths,64511296,Rip Or Michael,,Milan,29.93113,-90.09602,Entire home/apt,229,30,19,2023-01-31,0.30,1,364,1,17STR-12513
19327612,Home in New Orleans · ★4.91 · 4 bedrooms · 4 beds · 2 baths,746184,Carrie,,Treme - Lafitte,29.9641,-90.06782,Entire home/apt,548,30,91,2023-06-04,1.22,3,152,22,"17STR-07653, 19-OSTR-0000"
19349334,Rental unit in New Orleans · ★4.64 · 1 bedroom · 3 beds · 1 bath,112569637,French Quarter Mansion,,French Quarter,29.96,-90.06403,Entire home/apt,262,1,379,2023-08-18,5.30,9,274,70,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
19381684,Loft in New Orleans · ★4.90 · 1 bedroom · 1 bed · 1 bath,112910785,Marigny,,Central Business District,29.95271,-90.07103,Entire home/apt,101,3,188,2023-08-26,2.52,71,292,37,"22-CSTR-11615, 22-OSTR-11286"
19391278,Rental unit in New Orleans · ★4.43 · 1 bedroom · 1 bed · 1 bath,4494140,JonGunnar,,St. Claude,29.96867,-90.03964,Entire home/apt,54,4,106,2023-08-10,2.15,2,138,20,"19STR-23761, 19-OSTR-2412"
19408710,Home in New Orleans · ★4.96 · 3 bedrooms · 5 beds · 2 baths,136066012,Daryl,,Tulane - Gravier,29.96293,-90.08112,Entire home/apt,419,30,165,2023-08-27,2.24,1,0,20,"23-ISTR-11361, 23-OSTR-07104"
19415203,Townhouse in New Orleans · ★4.77 · 1 bedroom · 1 bed · 1 private bath,1405952,BalconyGuesthouse,,Marigny,29.96505,-90.05206,Private room,48,30,26,2021-07-05,0.37,13,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
19416012,Home in New Orleans · ★4.82 · 2 bedrooms · 9 beds · 2 baths,68337970,Yvonne,,West End,30.00759,-90.11598,Entire home/apt,129,30,39,2023-05-21,1.46,3,120,15,"20-RSTR-2149, 20-OSTR-2148"
19416198,Townhouse in New Orleans · ★4.95 · 1 bedroom · 2 beds · 1 bath,94666557,Jules,,Lower Garden District,29.93631018969306,-90.0706731299412,Entire home/apt,137,3,65,2023-05-31,0.92,3,142,18,"19STR-06126, 19-OSTR-01071"
19439266,Rental unit in New Orleans · ★4.92 · 1 bedroom · 2 beds · 1 bath,70671506,Maxwell,,Marlyville - Fontainbleau,29.94997,-90.11946,Entire home/apt,100,30,300,2023-08-27,3.99,1,351,21,"19STR-22794, 20-OSTR-1108"
19449757,Home in New Orleans · ★4.82 · 5 bedrooms · 6 beds · 2.5 baths,112910785,Marigny,,Central City,29.93849,-90.07421,Entire home/apt,371,3,230,2023-08-27,3.06,71,276,39,"21-cstr-15108, 21-ostr-00044"
19458946,Townhouse in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1 bath,124312955,Matt,,Lower Garden District,29.92749,-90.07625,Entire home/apt,95,1,341,2023-08-19,4.55,1,22,31,"23-NSTR-15805, 23-OSTR-18019"
